Position ID,Action,Long / Short,Amount,Units / Contracts,Open Date,Close Date,Leverage,Spread Fees (USD),Market Spread (USD),Profit(USD),FX rate at open (USD),FX rate at close (USD),Open Rate,Close Rate,Take profit rate,Stop loss rate,Overnight Fees and Dividends,Copied From,Type,ISIN,Notes
2987796531,Berkshire Hathaway Inc (BRK.B),Long,50.00,0.100084,04/04/2025 18:09:50,15/12/2025 18:16:20,1,0.00,-0.03,0.23,-,-,499.58,501.87,"5,493.62",0.00,0.00,-,Stocks,US0846707026,
2503790707,Salesforce Inc (CRM),Long,20.01,0.095843,16/08/2023 15:40:51,04/12/2025 18:44:29,1,0.00,-0.01,3.80,-,-,208.78,248.39,0.00,0.00,0.21,-,Stocks,US79466L3024,
2985394652,Salesforce Inc (CRM),Long,50.00,0.195748,03/04/2025 14:56:46,04/12/2025 18:44:04,1,0.00,-0.03,-1.38,-,-,255.43,248.37,"2,809.73",0.00,0.21,-,Stocks,US79466L3024,
2966875339,Salesforce Inc (CRM),Long,25.00,0.090455,10/03/2025 15:38:24,04/12/2025 18:43:55,1,0.00,-0.02,-2.54,-,-,276.38,248.35,0.00,0.00,0.09,-,Stocks,US79466L3024,
2727222560,Salesforce Inc (CRM),Long,200.00,0.920175,30/05/2024 14:12:08,04/12/2025 18:43:47,1,0.00,-0.12,28.54,-,-,217.35,248.37,"2,389.75",0.00,1.92,-,Stocks,US79466L3024,
2987533451,Salesforce Inc (CRM),Long,30.00,0.123198,04/04/2025 16:23:20,04/12/2025 18:43:32,1,0.00,-0.02,0.61,-,-,243.51,248.44,"2,678.61",0.00,0.12,-,Stocks,US79466L3024,
1429892433,Salesforce Inc (CRM),Long,50.00,0.196649,14/12/2021 17:58:15,04/12/2025 18:43:24,1,0.00,-0.02,-1.14,-,-,254.26,248.48,"2,796.86",0.00,0.49,-,Stocks,US79466L3024,
1415900300,Salesforce Inc (CRM),Long,150.00,0.584887,01/12/2021 19:48:32,04/12/2025 18:43:14,1,0.00,-0.04,-4.58,-,-,256.46,248.63,0.00,0.00,1.43,-,Stocks,US79466L3024,
2503791342,Warner Bros Discovery Inc (WBD),Long,39.00,2.930128,16/08/2023 15:42:25,11/09/2025 19:28:30,1,0.00,-0.03,7.76,-,-,13.31,15.96,0.00,0.00,0.00,-,Stocks,US9344231041,
2392873830,Warner Bros Discovery Inc (WBD),Long,30.00,1.956947,24/02/2023 15:20:30,11/09/2025 19:28:30,1,0.00,-0.02,1.23,-,-,15.33,15.96,168.64,0.00,0.00,-,Stocks,US9344231041,
